task_id,dept,criticality_score,duration_mins,corridor_id,block_section,line,window_start,window_end,status,rly,div,direction,block_demand_date,is_block_integrated,integrated_department,integration_fulfilled,enforcement_condition,use_corridor,reason_code,week
SMM-455,SMMS,60.29999923706055,60,COA-73,STN_A-STN_B,UP_MAIN,2026-09-13 09:23,2026-09-13 13:23,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-13,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,2
TMS-8001,TMS,60.29999923706055,120,COA-74,STN_A-STN_B,DN_MAIN,2026-09-13 00:42,2026-09-13 04:42,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-13,False,,False,Fixed Time Slot,True,PERIODIC_INSPECTION,2
SMM-458,SMMS,60.0,30,COA-83,STN_C-STN_D,UP_MAIN,2026-09-14 02:46,2026-09-14 06:46,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-08,False,,False,Flexible,True,PERIODIC_INSPECTION,2
SMM-454,SMMS,59.0,45,,STN_C-STN_D,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-18,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,2
TMS-8009,TMS,58.099998474121094,120,COA-63,STN_B-STN_C,UP_MAIN,2026-09-11 14:49,2026-09-11 18:49,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-11,False,,False,Flexible,True,PERIODIC_INSPECTION,2
SMM-451,SMMS,57.900001525878906,30,COA-79,STN_A-STN_B,UP_MAIN,2026-09-14 00:00,2026-09-14 04:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-14,False,,False,Flexible,True,PERIODIC_INSPECTION,2
SMM-474,SMMS,57.79999923706055,90,COA-77,STN_C-STN_D,UP_MAIN,2026-09-13 16:18,2026-09-13 20:18,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-12,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,2
TMS-8011,TMS,57.70000076293945,120,COA-54,STN_C-STN_D,DN_MAIN,2026-09-09 17:27,2026-09-09 21:27,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-09,True,SMMS,False,Flexible,True,PERIODIC_INSPECTION,2
SMM-459,SMMS,56.5,60,,STN_C-STN_D,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-15,False,,False,Flexible,True,PERIODIC_INSPECTION,2
TDM-1036,TDMS,51.20000076293945,90,COA-79,STN_A-STN_B,UP_MAIN,2026-09-14 00:00,2026-09-14 04:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-14,False,,False,Flexible,True,PERIODIC_INSPECTION,2
SMM-441,SMMS,51.099998474121094,30,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-17,False,,False,Flexible,True,PERIODIC_INSPECTION,2
TDM-1040,TDMS,50.20000076293945,120,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-15,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,2
SMM-456,SMMS,48.599998474121094,90,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-19,False,,False,Flexible,True,PERIODIC_INSPECTION,2
TMS-8034,TMS,100.0,150,,STN_B-STN_C,DN_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,DOWN,2026-09-11,True,TDMS,False,Fixed Time Slot,True,EMERGENCY_REPAIR,3
TDM-1045,TDMS,96.3,120,COA-103,STN_A-STN_B,UP_MAIN,2026-09-18 17:37,2026-09-18 20:21,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-18,False,,False,Fixed Time Slot,True,EMERGENCY_REPAIR,3
TMS-8027,TMS,65.8,90,COA-115,STN_A-STN_B,UP_MAIN,2026-09-20 07:00,2026-09-20 11:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-15,True,SMMS,True,Flexible,True,PERIODIC_INSPECTION,3
SMM-472,SMMS,65.1,45,COA-94,STN_B-STN_C,DN_MAIN,2026-09-16 11:09,2026-09-16 15:09,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-16,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,3
SMM-468,SMMS,64.2,30,COA-101,STN_C-STN_D,UP_MAIN,2026-09-17 13:34,2026-09-17 17:34,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-15,False,,False,Flexible,True,PERIODIC_INSPECTION,3
SMM-454,SMMS,62.5,45,COA-119,STN_C-STN_D,UP_MAIN,2026-09-20 12:16,2026-09-20 16:16,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-18,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,3
SMM-459,SMMS,60.4,60,COA-125,STN_C-STN_D,UP_MAIN,2026-09-21 12:19,2026-09-21 16:19,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-15,False,,False,Flexible,True,PERIODIC_INSPECTION,3
SMM-441,SMMS,55.6,30,COA-97,STN_A-STN_B,UP_MAIN,2026-09-17 12:51,2026-09-17 16:51,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-17,False,,False,Flexible,True,PERIODIC_INSPECTION,3
TDM-1040,TDMS,54.3,120,COA-97,STN_A-STN_B,UP_MAIN,2026-09-17 12:51,2026-09-17 16:51,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-15,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,3
SMM-456,SMMS,53.0,90,COA-115,STN_A-STN_B,UP_MAIN,2026-09-20 07:00,2026-09-20 11:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-19,False,,False,Flexible,True,PERIODIC_INSPECTION,3
TMS-8034,TMS,100.0,150,,STN_B-STN_C,DN_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,DOWN,2026-09-11,True,TDMS,False,Fixed Time Slot,True,EMERGENCY_REPAIR,4
TMS-8035,TMS,85.9,120,COA-145,STN_A-STN_B,UP_MAIN,2026-09-25 01:27,2026-09-25 05:27,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-25,True,SMMS,False,Fixed Time Slot,True,EMERGENCY_REPAIR,4
TDM-1046,TDMS,84.1,45,COA-148,STN_B-STN_C,DN_MAIN,2026-09-25 05:20,2026-09-25 09:20,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-25,False,,False,Fixed Time Slot,True,EMERGENCY_REPAIR,4
SMM-477,SMMS,69.3,45,COA-148,STN_B-STN_C,DN_MAIN,2026-09-25 05:20,2026-09-25 09:20,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-25,False,,False,Fixed Time Slot,True,EMERGENCY_REPAIR,4
